============================================================
 CATALYST — INVENTÁRIO COMPLETO DE PRODUTOS
============================================================

TOTAL DE REGISTROS: 419

050 | ID: 50      | Nuts & Fruits Cranberry | Snacks | R$ 5,00 | 25 g1 unidade | CÓD: - | IMG: SIM
051 | ID: 51      | Goiabinha Cremosa Zero | Doces | R$ 3,90 | 22 g1 unidade | CÓD: - | IMG: SIM
052 | ID: 52      | Protein Pão de Mel | Proteicos | R$ 11,00 | 45 g1 unidade | CÓD: - | IMG: SIM
053 | ID: 53      | Best Whey Cookies & Cream | Proteicos | R$ 14,90 | 49 g1 unidade | CÓD: - | IMG: SIM
054 | ID: 54      | Water Timber's Zero Pistache | Bebidas | R$ 6,90 | 324 g12 unidades | CÓD: - | IMG: SIM
055 | ID: 55      | Mel Flores Silvestres | Mel e Própolis | R$ 6,90 | 35 g10 sachês | CÓD: - | IMG: SIM
056 | ID: 56      | Mel & Alho | Mel e Própolis | R$ 19,90 | 160 g1 pote | CÓD: - | IMG: SIM
057 | ID: 57      | Verdprópolis — Extrato de Própolis Verde | Mel e Própolis | R$ 48,90 | 30 ml1 frasco | CÓD: - | IMG: SIM
058 | ID: 58      | Redprópolis — Extrato de Própolis Vermelho | Mel e Própolis | R$ 55,90 | 30 ml1 frasco | CÓD: - | IMG: SIM
059 | ID: 59      | Extrato de Própolis Glicólico | Mel e Própolis | R$ 43,90 | 30 ml1 frasco | CÓD: - | IMG: SIM
060 | ID: 60      | Spray de Mel com Própolis, Romã e Gengibre | Mel e Própolis | R$ 16,90 | - | CÓD: - | IMG: SIM
061 | ID: 61      | Óleo de Linhaça | Suplementos | R$ 60,90 | 1000 mg100 cápsulas | CÓD: - | IMG: SIM
062 | ID: 62      | Chlorella | Suplementos | R$ 54,90 | 500 mg100 cápsulas | CÓD: - | IMG: SIM
063 | ID: 63      | Tâmara com Colágeno | Funcionais | R$ 13,90 | - | CÓD: - | IMG: SIM
064 | ID: 64      | Mulungu | Suplementos | R$ 29,99 | 500 mg60 cápsulas | CÓD: - | IMG: SIM
065 | ID: 65      | Gummy Original AIR Zero | Gummies | R$ 151,90 | - | CÓD: - | IMG: SIM
066 | ID: 66      | Gummy Original AIR Maçã Verde | Gummies | R$ 149,90 | - | CÓD: - | IMG: SIM
067 | ID: 67      | Gummy Original Apple Vinegar | Gummies | R$ 110,00 | - | CÓD: - | IMG: SIM
068 | ID: 68      | Gummy Original Hair One | Gummies | R$ 91,00 | - | CÓD: - | IMG: SIM
069 | ID: 69      | Gengibre Cristalizado | Naturais | R$ 15,00 | 200 g1 embalagem | CÓD: - | IMG: SIM
070 | ID: 70      | Amora | Suplementos | R$ 129,90 | 600 mg100 cápsulas | CÓD: - | IMG: SIM
071 | ID: 71      | Bananinha sem Adição de Açúcar | Doces | R$ 5,50 | - | CÓD: - | IMG: SIM
072 | ID: 72      | Doce de Banana sem Adição de Açúcares | Doces | R$ 5,90 | - | CÓD: - | IMG: SIM
073 | ID: 73      | Bananinha Coberta com Chocolate | Doces | R$ 5,90 | - | CÓD: - | IMG: SIM
074 | ID: 74      | Bananinha com Canela | Doces | R$ 4,50 | - | CÓD: - | IMG: SIM
075 | ID: 75      | Doce de Banana com Açúcar e Canela | Doces | R$ 4,50 | - | CÓD: - | IMG: SIM
076 | ID: 76      | Bisco Light Coco Branco com Pistache | Biscoitos e Snacks | R$ 37,90 | 150 g1 unidade | CÓD: - | IMG: NÃO
077 | ID: 77      | Bisco Light Churros | Biscoitos e Snacks | R$ 37,90 | 150 g1 unidade | CÓD: - | IMG: NÃO
078 | ID: 78      | Crush Bar Morango | Barras de Proteína | R$ 70,90 | 35 gcaixa com 12 unidades | CÓD: - | IMG: SIM
079 | ID: 79      | Stroopwafel Wafel Holandês | Biscoitos e Snacks | R$ 22,90 | 230 g1 unidade | CÓD: - | IMG: SIM
080 | ID: 80      | Muma Biscoito de Arroz Chocolate Zero | Biscoitos e Snacks | R$ 17,90 | 60 g1 unidade | CÓD: - | IMG: SIM
081 | ID: 81      | Muma Biscoito de Milho Mediterrâneo | Biscoitos e Snacks | R$ 14,90 | 65 g1 unidade | CÓD: - | IMG: SIM
082 | ID: 82      | Muma Biscoito de Milho Ervas Finas e Azeite | Biscoitos e Snacks | R$ 14,90 | 65 g1 unidade | CÓD: - | IMG: SIM
083 | ID: 83      | Repeat Snack Alga Marinha Original | Snacks | R$ 9,90 | 5 g1 unidade | CÓD: - | IMG: SIM
084 | ID: 84      | Biscoito Sembei | Biscoitos e Snacks | R$ 9,90 | 100 g1 unidade | CÓD: 160 | IMG: SIM
085 | ID: 85      | Biscoito Beliscão | Biscoitos e Snacks | R$ 8,50 | 100 g1 unidade | CÓD: 187 | IMG: SIM
086 | ID: 86      | Biscoito Banana e Canela | Biscoitos e Snacks | R$ 11,00 | 100 g1 unidade | CÓD: 137 | IMG: SIM
087 | ID: 87      | Biscoito de Maracujá Vegano | Biscoitos e Snacks | R$ 12,90 | 100 g1 unidade | CÓD: 653 | IMG: SIM
088 | ID: 88      | Biscoito de Castanha de Pecã | Biscoitos e Snacks | R$ 16,90 | 100 g1 unidade | CÓD: 3084 | IMG: SIM
089 | ID: 89      | Biscoito com Gotas de Chocolate 52% | Biscoitos e Snacks | R$ 17,00 | 100 g1 unidade | CÓD: 3039 | IMG: SIM
090 | ID: 90      | Biscoito Parmesão com Páprica e Cúrcuma | Biscoitos e Snacks | R$ 17,00 | 100 g1 unidade | CÓD: 84 | IMG: SIM
091 | ID: 91      | Polvilho com Provolone | Biscoitos e Snacks | R$ 11,90 | 100 g1 unidade | CÓD: - | IMG: SIM
092 | ID: 92      | Polvilho com Chia | Biscoitos e Snacks | R$ 11,90 | 100 g1 unidade | CÓD: - | IMG: SIM
093 | ID: 93      | Polvilho com Cebola | Biscoitos e Snacks | R$ 11,90 | 100 g1 unidade | CÓD: - | IMG: SIM
094 | ID: 94      | Biscoito Polvilho Perfeito Pimenta e Limão | Biscoitos e Snacks | R$ 18,90 | 80 g1 unidade | CÓD: - | IMG: SIM
095 | ID: 95      | Provolone com Goiabada | Biscoitos e Snacks | R$ 18,00 | 100 g1 unidade | CÓD: - | IMG: SIM
096 | ID: 96      | Snack de Queijo Coalho | Snacks | R$ 18,99 | 100 g1 unidade | CÓD: - | IMG: SIM
097 | ID: 97      | Banana Chips Doce | Frutas Desidratadas | R$ 8,59 | 100 g1 unidade | CÓD: - | IMG: SIM
098 | ID: 98      | Amendoim Japonês | Snacks | R$ 3,50 | 100 g1 unidade | CÓD: - | IMG: SIM
099 | ID: 99      | Amendoim Olhinho | Snacks | R$ 4,90 | 100 g1 unidade | CÓD: - | IMG: SIM
100 | ID: 100     | Mix Crocante | Snacks | R$ 15,90 | 100 g1 unidade | CÓD: - | IMG: SIM
101 | ID: 101     | Mix de Frutas Tropicais | Frutas Desidratadas | R$ 21,90 | 100 g1 unidade | CÓD: 80 | IMG: SIM
102 | ID: 102     | Mix de Frutas Vermelhas | Frutas Desidratadas | R$ 16,90 | 100 g1 unidade | CÓD: 645 | IMG: SIM
103 | ID: 103     | Damasco | Frutas Desidratadas | R$ 18,90 | 100 g1 unidade | CÓD: 48 | IMG: SIM
104 | ID: 104     | Manga Desidratada | Frutas Desidratadas | R$ 12,00 | 100 g1 unidade | CÓD: 62 | IMG: SIM
105 | ID: 105     | Kiwi Desidratado | Frutas Desidratadas | R$ 11,00 | 100 g1 unidade | CÓD: 58 | IMG: SIM
106 | ID: 106     | Goji Berry | Frutas Desidratadas | R$ 9,90 | 100 g1 unidade | CÓD: 56 | IMG: SIM
107 | ID: 107     | Blueberry | Frutas Desidratadas | R$ 26,90 | 100 g1 unidade | CÓD: 35 | IMG: SIM
108 | ID: 108     | Morango Glaceado | Frutas Desidratadas | R$ 14,90 | 100 g1 unidade | CÓD: 171 | IMG: SIM
109 | ID: 109     | Cereja Desidratada | Frutas Desidratadas | R$ 13,50 | 100 g1 unidade | CÓD: 975 | IMG: SIM
110 | ID: 110     | Abacaxi Desidratado | Frutas Desidratadas | R$ 19,90 | 100 g1 unidade | CÓD: 3 | IMG: SIM
111 | ID: 111     | Mamão Cristalizado | Frutas Desidratadas | R$ 12,00 | 100 g1 unidade | CÓD: 61 | IMG: SIM
112 | ID: 112     | Frutas Cristalizadas | Frutas Desidratadas | R$ 3,90 | 100 g1 unidade | CÓD: 53 | IMG: SIM
